date,close
2018-01-01,230.1481
2018-01-02,241.7917
2018-01-03,232.7787
2018-01-04,230.5296
2018-01-05,231.0703
2018-01-06,233.6192
2018-01-07,237.3798
2018-01-08,232.344
2018-01-09,239.8818
2018-01-10,238.9085
2018-01-11,242.2019
2018-01-12,247.7792
2018-01-13,245.2794
2018-01-14,238.5836
2018-01-15,236.7419
2018-01-16,235.4428
2018-01-17,232.4582
2018-01-18,225.7359
2018-01-19,234.1615
2018-01-20,241.8517
2018-01-21,231.8116
2018-01-22,227.0251
2018-01-23,227.6226
2018-01-24,223.6332
2018-01-25,229.6563
2018-01-26,228.9903
2018-01-27,223.2608
2018-01-28,219.5775
2018-01-29,226.6678
2018-01-30,228.5859
2018-01-31,238.4284
2018-02-01,267.3159
2018-02-02,276.9288
2018-02-03,277.053
2018-02-04,280.415
2018-02-05,287.2933
2018-02-06,297.7292
2018-02-07,300.3935
2018-02-08,284.8668
2018-02-09,282.9432
2018-02-10,291.2671
2018-02-11,271.9935
2018-02-12,268.8984
2018-02-13,284.1409
2018-02-14,276.8672
2018-02-15,286.9198
2018-02-16,304.691
2018-02-17,299.0726
2018-02-18,299.5695
2018-02-19,286.2054
2018-02-20,292.8449
2018-02-21,303.6293
2018-02-22,305.4354
2018-02-23,305.7324
2018-02-24,311.3225
2018-02-25,313.531
2018-02-26,296.5138
2018-02-27,285.516
2018-02-28,293.4465
2018-03-01,302.6459
2018-03-02,301.0138
2018-03-03,298.1561
2018-03-04,308.6973
2018-03-05,306.9351
2018-03-06,306.8942
2018-03-07,304.7426
2018-03-08,296.8232
2018-03-09,299.395
2018-03-10,299.7317
2018-03-11,299.147
2018-03-12,287.917
2018-03-13,297.1519
2018-03-14,289.3961
2018-03-15,285.2554
2018-03-16,264.9745
2018-03-17,261.9489
2018-03-18,257.0103
2018-03-19,259.5531
2018-03-20,259.1094
2018-03-21,262.8205
2018-03-22,264.6419
2018-03-23,263.2841
2018-03-24,277.8136
2018-03-25,274.9493
2018-03-26,279.4773
2018-03-27,268.1885
2018-03-28,265.9649
2018-03-29,258.1778
2018-03-30,237.6159
2018-03-31,237.3001
2018-04-01,243.4285
2018-04-02,246.1407
2018-04-03,239.296
2018-04-04,194.1494
2018-04-05,184.0277
2018-04-06,187.4145
2018-04-07,187.5369
2018-04-08,196.0866
2018-04-09,197.2283
2018-04-10,192.2888
2018-04-11,198.7969
2018-04-12,190.6168
2018-04-13,186.8894
2018-04-14,179.0601
2018-04-15,226.9625
2018-04-16,224.5907
2018-04-17,222.8173
2018-04-18,228.3357
2018-04-19,233.1186
2018-04-20,231.6992
2018-04-21,240.15
2018-04-22,232.8223
2018-04-23,227.9182
2018-04-24,246.8985
2018-04-25,245.6653
2018-04-26,241.2217
2018-04-27,241.8116
2018-04-28,240.3901
2018-04-29,229.1557
2018-04-30,234.8135
2018-05-01,234.5443
2018-05-02,239.8926
2018-05-03,246.8158
2018-05-04,253.3005
2018-05-05,249.4854
2018-05-06,252.889
2018-05-07,250.2596
2018-05-08,255.364
2018-05-09,261.8949
2018-05-10,258.8709
2018-05-11,253.1185
2018-05-12,257.6843
2018-05-13,259.1914
2018-05-14,260.23
2018-05-15,261.812
2018-05-16,256.7268
2018-05-17,251.2713
2018-05-18,236.4703
2018-05-19,238.2621
2018-05-20,242.5433
2018-05-21,244.5557
2018-05-22,231.7003
2018-05-23,237.5038
2018-05-24,237.066
2018-05-25,230.1908
2018-05-26,230.6525
2018-05-27,230.0914
2018-05-28,238.0552
2018-05-29,242.8242
2018-05-30,237.1277
2018-05-31,236.4876
2018-06-01,245.9516
2018-06-02,253.104
2018-06-03,265.0404
2018-06-04,256.4904
2018-06-05,254.5257
2018-06-06,254.9204
2018-06-07,253.1985
2018-06-08,255.206
2018-06-09,260.4704
2018-06-10,268.2498
2018-06-11,277.679
2018-06-12,279.5057
2018-06-13,275.1886
2018-06-14,272.9808
2018-06-15,278.2803
2018-06-16,277.1043
2018-06-17,275.4212
2018-06-18,278.1547
2018-06-19,291.948
2018-06-20,281.6016
2018-06-21,283.8872
2018-06-22,272.7088
2018-06-23,278.6372
2018-06-24,277.0624
2018-06-25,274.7971
2018-06-26,271.8085
2018-06-27,278.2287
2018-06-28,276.1286
2018-06-29,273.3575
2018-06-30,267.9533
2018-07-01,264.9289
2018-07-02,261.6514
2018-07-03,269.9669
2018-07-04,227.1605
2018-07-05,237.0116
2018-07-06,226.8458
2018-07-07,229.7353
2018-07-08,234.885
2018-07-09,240.5241
2018-07-10,238.7208
2018-07-11,232.5692
2018-07-12,235.3022
2018-07-13,209.0685
2018-07-14,210.6474
2018-07-15,218.192
2018-07-16,218.1431
2018-07-17,219.8332
2018-07-18,232.0484
2018-07-19,234.5817
2018-07-20,227.4422
2018-07-21,230.4282
2018-07-22,240.4672
2018-07-23,247.1422
2018-07-24,247.2135
2018-07-25,241.523
2018-07-26,237.1144
2018-07-27,237.005
2018-07-28,228.0151
2018-07-29,228.6757
2018-07-30,215.1984
2018-07-31,218.243
2018-08-01,223.8265
2018-08-02,229.6504
2018-08-03,231.8265
2018-08-04,231.3915
2018-08-05,229.1371
2018-08-06,236.7557
2018-08-07,235.4862
2018-08-08,225.3153
2018-08-09,235.1688
2018-08-10,237.2815
2018-08-11,234.0976
2018-08-12,235.6076
2018-08-13,230.2901
2018-08-14,233.3937
2018-08-15,237.1585
2018-08-16,230.1458
2018-08-17,230.388
2018-08-18,222.8566
2018-08-19,224.0759
2018-08-20,226.8862
2018-08-21,228.7286
2018-08-22,236.9058
2018-08-23,248.9691
2018-08-24,239.8344
2018-08-25,243.6845
2018-08-26,236.2186
2018-08-27,239.4166
2018-08-28,244.4015
2018-08-29,244.7592
2018-08-30,249.3023
2018-08-31,300.6778
2018-09-01,309.3091
2018-09-02,312.5817
2018-09-03,327.5575
2018-09-04,331.5014
2018-09-05,336.8776
2018-09-06,327.3656
2018-09-07,317.8401
2018-09-08,313.5659
2018-09-09,327.5455
2018-09-10,320.9286
2018-09-11,332.8408
2018-09-12,339.3725
2018-09-13,331.3185
2018-09-14,331.6817
2018-09-15,338.4074
2018-09-16,344.2602
2018-09-17,338.3586
2018-09-18,354.5332
2018-09-19,362.9739
2018-09-20,368.5834
2018-09-21,378.2344
2018-09-22,364.3068
2018-09-23,363.2983
2018-09-24,400.272
2018-09-25,406.0916
2018-09-26,380.3703
2018-09-27,369.5776
2018-09-28,371.4721
